offset,sig8,body_prefix,pos_008,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
822844343,0000010c43fc9ae9,7321,1390485875,3417748547,2528119566,3891748575,2194930760,1530340813,3936030770,3355512905,1739481284
822984181,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,3291968803,3191417877,46167808
823184810,0000010c43fc9ae9,7321,1390485875,3993608051,4010262773,4063168464,2610068082,1185596114,4294967295,2462879937,2898458726
929497332,0000010c43fc9ae9,71d0,2851131505,4031490992,1738069247,162754444,2629762174,2610079361,298411683,4114551532,4132845059
930794804,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268
931244150,0000010c43fc9ae9,7321,1390485875,1032059387,3970766360,1558100056,2950477610,4122840372,2571118124,3160916736,4057422073
934140139,0000010c43fc9ae9,71d0,2851131505,4031490992,1738069247,162754444,2629762174,2610079361,298411683,4114551532,4132845059
935484091,0000010c43fc9ae9,7321,1390485875,4094486127,2981583456,1507768417,2045099733,1457482660,3841597193,2322706449,1358378774
938014466,0000010c43fc9ae9,71d0,2851131505,4031490992,1738069247,162754444,2629762174,2610079361,298411683,4114551532,4132845059
939221671,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268
939673642,0000010c43fc9ae9,7321,1390485875,4094486127,2981583456,1507768417,2045099733,1457482660,70947941,1041958480,2914117259
