xml_key,term,offset_hex,cluster_id,excerpt
OPTIONS,Options,0x3dc2a0cc,5,"s2/+ | /Terrano/Player2 | XmlData' | "" SaveOptions=""False | State=""True"" |   <78 | Chevyblazer | Pajerostripe "
OPTIONS,Options,0x3dc2a273,5,"nsXml | s2/+ | /Kamaz/Player1 | XmlData' | "" SaveOptions=""False | State=""True"" |   <78 |   +l"
OPTIONS,Options,0x3dc2a417,5,"sXml | s2/+ | /Navara/Player2 | XmlData' | "" SaveOptions=""False | State=""True"" |   <78 |   +<"
OPTIONS,Options,0x3dc2a5bf,5,"sXml | s2/+ | /Patrol/Player1 | XmlData' | "" SaveOptions=""False | State=""True"" |   <78 |   +("
OPTIONS,Options,0x3dc2a843,5,"ehicles/Tyres/gravel0/PeakMu"" TypP | Float"" ValuH | 0.70000"" SaveOptions=""False | PlayerStatl |     < | SoftRating6 | Ice [ | We \"
OPTIONS,Options,0x3dc2ab2d,5,"$H}>| | q1/.t | =""Float"" Value=""0.0` | "" SaveOptions=""False | PlayerState |     < |  NamH | Vehicles/Tyres/gravel1/IceRating"" Typ^"
OPTIONS,Options,0x3dc2ae6f,5,"Vehicles/Tyres/gravel2/WetRating"" Typ\ | Float""  | =""0.0` | "" SaveOptions | ScaleFactor4 | 1.8 < | CorneringCoeff4 | 0.21000 8"
OPTIONS,Options,0x3dc2b12d,5,"les/Tyres/gravel3/ScaleFactor"" Type=""Float"" Value=""1.80000"" SaveOptions=""False | PlayerStatl |     < |  NamI | CorneringCoeff4 | 0.22 I | Gradient4, | -0.7 <@"
OPTIONS,Options,0x3dc2b3ea,5," ;Z}4/,T | "" Type=""Float"" Value=""0.18000"" SaveOptions=""False | PlayerStatl |     < |  NamH | Vehicles/Tyres/gravel4/CorneringCoeffGradient"" Ty0, | -0.30 ;0 | PneumaticTrail"
OPTIONS,Options,0x3dc2b6d3,5,"v5-H{7Ld"" | % 0T | 3000 | 0"" SaveOptions=""False"" SavePlayerState |     <Value NamH | Vehicles/Tyres/gravel5/PneumaticTrailCoeff"" TypD | Float""  | =""0.02000"
OPTIONS,Options,0x3dc2ba1b,5,"/Tyres/gravel6/CamberStiffness"" TypT | Float""  | =""-60.0` | "" SaveOptions | Play~ | Longitudinal=1 | Inflap | Damping4"
OPTIONS,Options,0x3dc2bcec,5,"el7/LongitudinalStiffness"" Type=""Float"" Value=""10000.p | 0"" SaveOptions=""False | PlayerStat| |     < |  NamH | Vehic08 | Inflat | Damping4y"
OPTIONS,Options,0x3dc2bfd1,5,"ationStiffness"" Type=""Float"" Value=""10000.p | 0"" SaveOptions=""False | PlayerStat| |     < |  NamH | Vehicles/Tyres/gravel8/Inflat | Damping4I | 5 <D"
OPTIONS,Options,0x3dc2c2b5,5,"oat"" Value=""5000.0` | "" SaveOptions=""False | PlayerState |     < |  NamH | Vehicles/Tyres/grass9/PeakMu"" TypL | Float"" | 0.7 ;"
OPTIONS,Options,0x3dc2c5ac,5,"ss9L | ue=""0.75000"" SaveOptions=""False | PlayerState |     <Value NamH | Vehicles/Tyres/grass10/SoftRating"" Typ@ | Float""  | =""0.0` | Ice ["
QUICKRACE,QuickRace,0x3dc2c7a8,5,"True""3 | SkipTitle'$#  | ReturnScreen | I""P)&X3 !$ | QuickRace/Mode2 | Car02 | Track2 | 2 4 "
OPTIONS,Options,0x3dc2cc76,5,"CarParams | PS2Map0 | XmlData' | PS2"" SaveOptions=""False | PlayerStat` |   <. | use) | Bool'D"
OPTIONS,Options,0x48a62a9e,6,"<Scene> |   <EggLists_Version4 |   <t |  Name=""AudioOptions"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/'"
OPTIONS,Options,0x48a640cc,6,"ttonT[CdAI+ | }A<9 | Font ID# | /AudioOptions/MusicVolumep | t 1w | =""Null  | OffsetX | HJustifica|03"
OPTIONS,Options,0x48a644bc,6,"*"" Type=""St | %ring"" Value=""Frontend/AudioOptions/MusicVolumeMin""/> |  Name=""Max | *"" Type=""String  | Real  | </enUISliderAI+ | </.@ | AI No=""1""+"
CUPSELECT,CupSelect,0x48a66af8,6,"<Scene> |   <EggLists_Version4 |   <t |  Name=""CupSelect"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/'|"
CUPSELECT,CupSelect,0x48a66f84,6,String' | enUIMulti | :AI+ | aH<. | Frontend/CupSelectd | 2Status/ | ndividual  |  Per
CUPSELECT,CupSelect,0x48a679b7,6,"2d   | Real& | -00  | 5163  | Frontend/CupSelecte | F""@Q  | 98\  | # C }8\?x"
CUPSELECT,CupSelect,0x48a67c0f,6,"rmattedTextAI+ | Font# | Frontend/CupSelectd | 2BestTim,| |  ID3\ | zo="" | Offset | $VS or3'"
CUPSELECT,CupSelect,0x48a67f09,6,String'$ | gaFrontendArrowAI0T |  Status*5 | /CupSelectd | Left | + ID2 | Group Visibility6 | Null/.
CUPSELECT,CupSelect,0x48a68564,6,"TextB | ]T[CdAI+  | Font ID# | /CupSelect/Classl |  IDOQdex3\ | zq="" | OffsetX | HJustification2"
CUPSELECT,CupSelect,0x48a68a38,6,</AI+ | gaFrontendArrow2 |  Status6 | /CupSelect/ClassRight |  ID  | Group  | ility6 | </<@
CUPSELECT,CupSelect,0x48a691b8,6,"ttedb | #T'""l(- | =""Font# | 52/p | -<!i | /CupSelect/Logoh |  ID3L |  #pD "
OPTIONS,Options,0x48a6952d,6,"T[CdAI+  | =""Font ID# | /GameOptions/ | Unitsh |  IDKRdex3x | vr="" | (=""/ | OffsetX"
OPTIONS,Options,0x48a69e9a,6,extB | ]T[CdAI+ | yi<9 | Font ID# | /GameOptions/Gearx[` | d 1g | Null  | OffsetX
GAMESELECT2,GameSelect,0x48a6b479,6,"<Scene> |   <EggLists_Version4 |   <t |  Name=""GameSelect"" | QuickRace(t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'`"
QUICKRACE,QuickRace,0x48a6b48b,6,"<Scene> |   <EggLists_Version4 |   <t |  Name=""GameSelect"" | QuickRace(t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'`"
PROGRESS,Progress,0x48a6bb2d,6,"eft7 | Enabl  | Unlocker< |  16` | Progress/OpenedModes/T1MasterRally, |  t&- | 1 OR 23 | Cheats/"
GAMESELECT2,GameSelect,0x48a6c030,6,Enabl  | Unlocker< |  16` | /GameSelect/ChallengeAvailh*> | 1 OR 23 | %|.- | Control AI5 | 1?2y
GAMESELECT2,GameSelect,0x48a6c5f1,6,"""0*t | enUIFormattedf |  &(  | /GameSelect// |  SaveOptions="" | PlayerState |  ID# | _Sdex F"
OPTIONS,Options,0x48a6c605,6,"nUIFormattedf |  &(  | /GameSelect// |  SaveOptions="" | PlayerState |  ID# | _Sdex F | zy="""
GAMESELECT2,GameSelect,0x48a6c880,6,"<Scene> |   <EggLists_Version4 |   <t |  Name=""GameSelect"" | QuickRace(t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'`"
QUICKRACE,QuickRace,0x48a6c892,6,"<Scene> |   <EggLists_Version4 |   <t |  Name=""GameSelect"" | QuickRace(t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'`"
PROGRESS,Progress,0x48a6cfd3,6,"Left7 | Enabl  | Unlocker< |  16` | Progress/Opened"" | s/T1MasterRally, |  t&- | 1 OR 23"
GAMESELECT2,GameSelect,0x48a6d1c6,6,"B1 +P | =\C *L | D2<H* | GameSelectScreen*4P+(>; | e"" Type=""String"" Value=""Null""/> |  Name=""en3d Matrix"" T | Row0=""1.00 0+ | "" Row1="""
GAMESELECT2,GameSelect,0x48a6d909,6,"enUIFormattedf | Font# | !& ! | /GameSelect/3 |  ID3 | WPdex  | ,%-  | Offset"
LANGUAGE,Language,0x48a6dacc,6,"<Scene> |   <EggLists_Version4 |   <t |  Name=""Language"" | English(l |   <Value | Use en2d"" Type=""Bool""  | =""True""/'X"
LANGUAGE,Language,0x48a6e397,6,"=""1I | End6P | 0.90 ( | Active* | String' | Frontend/Language/French/T | </ga | BackgroundFaderAI+"
OPTIONS,Options,0x48a6e5e0,6,"enUIFormattedf | ont# | 2"" SaveOptions="" | PlayerState | =,%x | Screen' |  ID3 | W`dex F"
PROGRESS,Progress,0x48a70e10,6,"Left7 | Enabl  | </Egg' | <Egg | Progress*< | Use ""H&3< | Freezh+  | Hit "
TRAINING,Training,0x48a713a2,6,Left7 | (x&* | </Egg' | Training*< | Use en2  |  va73+4 | c7293  | ~`7:4.
