string_offset_hex,string_len,path,prev_marker_hex,marker_to_string_dist,tag,pre24_hex,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex,extension
0x117fd,4,16\x,0x117ee,15,n,ec0905e42bd647660c00006e0010e6ac082f1c02ac4f7700,0010e6ac082f1c02ac4f7700,0xace61000,0x21c2f08,0x4fac,0x77,
0x119c5,7,CARS\'$,0x119b0,21,l,47082700006c0002d0f65d00bc325c052b1e0c534d44f702,bc325c052b1e0c534d44f702,0x55c32bc,0x530c1e2b,0x444d,0x2f7,
0x11e3f,12,CENTERED.PSB,0x11df3,76,l,385c415249414c5f34385f110000a70f0000431000000006,0000a70f0000431000000006,0xfa70000,0x10430000,0x0,0x600,PSB
0x11e67,55,\TNG\DATAPSM\COURSE\TURKEY_S2\MRTRUCK SIDEDOORB-TGA.GXI,0x11e55,18,l,62a7f4464d1800006c00003ae8e35e0078705d0003000000,e8e35e0078705d0003000000,0x5ee3e8,0x5d7078,0x3,0x0,GXI
0x11f04,5,2.PSM,0x11ece,54,l,cb415dd427006c0003209a6000d0a93e0f0153325cc0120d,00d0a93e0f0153325cc0120d,0x3ea9d000,0x3253010f,0xc05c,0xd12,PSM
0x11f5a,5,1.XML,0x11f3a,32,l,0054b92d2c020b5343454e455c5241434554455354b8100c,5c5241434554455354b8100c,0x4341525c,0x53455445,0xb854,0xc10,XML
0x1214f,7,FONTS\v,0x12144,11,o,345c2c780606694a38d647de0b00006f0014b75e347c0603,0b00006f0014b75e347c0603,0x6f00000b,0x5eb71400,0x7c34,0x306,
0x12605,14,S1\BED TO MUDO,0x125f2,19,l,849b46423f00006c000314685d00580c31fc00dc6acc100a,5d00580c31fc00dc6acc100a,0xc58005d,0xdc00fc31,0xcc6a,0xa10,
0x12e8a,31,APSM\COURSE\TURKEY1\TOP-TGA.GXI,0x12e6f,27,l,000344fa5c004cac2c1c0211000043100000161000000016,000043100000161000000016,0x10430000,0x10160000,0x0,0x1600,GXI
0x12efa,23,HUD\MASTER_TEMPLATE.PSB,0x12ee8,18,l,b0af19482e0600006c000514025d00284e5e002f0c010011,025d00284e5e002f0c010011,0x28005d02,0x2f005e4e,0x10c,0x1100,PSB
0x12f2c,11,SPAIN2\WH2(,0x12f1b,17,l,69fd6bc443be0500006c0003d4835d0020d631fc00cc1807,d4835d0020d631fc00cc1807,0x5d83d4,0xfc31d620,0xcc00,0x718,
0x12fba,7,FONTS\v,0x12fab,15,l,6c02056d21d647770a00006c000370b95f00c4e5312c0103,000370b95f00c4e5312c0103,0xb9700300,0xe5c4005f,0x2c31,0x301,
0x130e6,9,Y3\KAORI',0x130d5,17,l,0528a49840492500006c00034cc65f0070d8389c046c1105,4cc65f0070d8389c046c1105,0x5fc64c,0x9c38d870,0x6c04,0x511,
0x1336d,6,vA8\\l,0x1332f,62,l,cc00d0bc252b7c21275c100c574f4f4c44414e4400695acf,574f4f4c44414e4400695acf,0x4c4f4f57,0x444e4144,0x6900,0xcf5a,
0x134b1,6,GAME\p,0x13484,45,l,84fd2740020541fec03d400c02006c006e2b68692d3c0202,02006c006e2b68692d3c0202,0x6c0002,0x69682b6e,0x3c2d,0x202,
0x134b9,4,.XML,0x13484,53,l,c03d400c02006c006e2b68692d3c020247414d455c70000b,2d3c020247414d455c70000b,0x2023c2d,0x454d4147,0x705c,0xb00,XML
0x13ea8,35,\COURSE\FRANCE_W\F_ROADFILL-TGA.GXI,0x13e8f,25,n,006e006cc1247c452edc061100001610000024100000001a,00001610000024100000001a,0x10160000,0x10240000,0x0,0x1a00,GXI
0x1408a,8,1\CTYRE),0x14077,19,l,226d456f0400006c00038cdd5d009c7331ac04cc37ac0904,5d009c7331ac04cc37ac0904,0x739c005d,0xcc04ac31,0xac37,0x409,
0x14150,5,2.CFL,0x140e1,111,l,a75c00b8852d2c09095343454e455c49434f4e545ca0130b,4e455c49434f4e545ca0130b,0x495c454e,0x544e4f43,0xa05c,0xb13,CFL
0x1415c,5,"=,\;l",0x140e1,123,l,4e455c49434f4e545ca0130b322e43464c00696969636dc5,322e43464c00696969636dc5,0x46432e32,0x6969004c,0x6369,0xc56d,
0x141e0,25,VEHICLES\XTRAIL\WHEEL.PSM,0x141ce,18,l,39fea548901e00006c0003eca85e003ca92d0c046c08000b,a85e003ca92d0c046c08000b,0x3c005ea8,0x40c2da9,0x86c,0xb00,PSM
