record_offset,sig8,body_prefix,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
1004794990,0000010c43fc7d92,c90f,1175064521,3689727584,3512076182,3485460158,3505027547,3330165463,1948464757,2290400595,2032395623,428400265,3432382814
195890308,0000010c43fc86e9,4cc3,2445460300,3174667455,908440992,2255337319,1070755652,1171488690,3071442787,890066041,4235015998,2757598215,4191906116
196598496,0000010c43fc86e9,4cc3,2445460300,3449945317,698942853,1824210355,603825712,889006075,3303004362,438841755,1050898190,1138421108,2380808364
197931551,0000010c43fc86e9,4cc3,2445460300,3449945325,1722484101,1691907707,4213439814,1479867687,4162542585,2828197524,2370650847,4200637379,3271675611
601642871,0000010c43fc86e9,4cc3,2445460300,3174667455,908440992,2255337319,1070755652,1171488690,3071442787,890066041,4235015998,2757598215,4191906116
602351059,0000010c43fc86e9,4cc3,2445460300,3449945317,698942853,1824210355,603825712,889006075,3303004362,438841755,1050898190,1138421108,2380808364
603684114,0000010c43fc86e9,4cc3,2445460300,3449945325,1722484101,1691907707,4213439814,1479867687,4162542585,2828197524,2370650847,4200637379,3271675611
1006138454,0000010c43fc86e9,4cc3,2445460300,3174667455,908440992,2255337319,1070755652,1171488690,3071442787,890066041,4235015998,2757598215,4191906116
1006841143,0000010c43fc86e9,4cc3,2445460300,3449945317,698942853,1824210355,603825712,889006075,3303004362,438841755,1050898190,1138421108,2380808364
1008164955,0000010c43fc86e9,4cc3,2445460300,3449945325,1722484101,1691907707,4213439814,1479867687,4162542585,2828197524,2370650847,4200637379,3271675611
195287425,0000010c43fc86e9,521f,3722977106,3174168784,1672152546,1648586511,670797157,1761234934,3157031129,2130325252,4088819821,1863200183,4060940080
195954235,0000010c43fc86e9,521f,3722977106,3174168784,817265378,641135862,2142363480,2342977380,3927846701,3574808573,3191459803,1839869661,2371537726
196160710,0000010c43fc86e9,521f,3722977106,1846450623,3285740225,243061211,2462047087,2286228345,2168055239,1201360264,3392386914,3048487336,3006368057
197418381,0000010c43fc86e9,521f,3722977106,3726146792,2983527025,2980165511,2482882098,889006075,3161255961,386058094,2715466328,2023661018,3500291642
601039988,0000010c43fc86e9,521f,3722977106,3174168784,1672152546,1648586511,670797157,1761234934,3157031129,2130325252,4088819821,1863200183,4060940080
601706798,0000010c43fc86e9,521f,3722977106,3174168784,817265378,641135862,2142363480,2342977380,3927846701,3574808573,3191459803,1839869661,2371537726
601913273,0000010c43fc86e9,521f,3722977106,1846450623,3285740225,243061211,2462047087,2286228345,2168055239,1201360264,3392386914,3048487336,3006368057
603170944,0000010c43fc86e9,521f,3722977106,3726146792,2983527025,2980165511,2482882098,889006075,3161255961,386058094,2715466328,2023661018,3500291642
1005539958,0000010c43fc86e9,521f,3722977106,3174168784,1672152546,1648586511,670797157,1761234934,3157031129,2130325252,4088819821,1863200183,4060940080
1006201978,0000010c43fc86e9,521f,3722977106,3174168784,817265378,641135862,2142363480,2342977380,3927846701,3574808573,3191459803,1839869661,2371537726
1006406939,0000010c43fc86e9,521f,3722977106,1846450623,3285740225,243061211,2462047087,2286228345,2168055239,1201360264,3392386914,3048487336,3006368057
1007654588,0000010c43fc86e9,521f,3722977106,3726146792,2983527025,2980165511,2482882098,889006075,3161255961,386058094,2715466328,2023661018,3500291642
1008108392,0000010c43fc86e9,521f,1407721298,2378270574,3394636622,217832726,2141970312,2342977380,4160274635,2095780082,1973073797,2386463199,1183891185
196890762,0000010c43fc86e9,530f,1861488467,3617268607,2070326021,1181014134,1341535997,380725498,1136120481,917127835,3816021339,1025707560,2496477063
198186576,0000010c43fc86e9,530f,1861488467,4123451459,258321191,294251886,4189868991,2337813757,601832665,1094864538,529922134,909485932,2443287661
602643325,0000010c43fc86e9,530f,1861488467,3617268607,2070326021,1181014134,1341535997,380725498,1136120481,917127835,3816021339,1025707560,2496477063
603939139,0000010c43fc86e9,530f,1861488467,4123451459,258321191,294251886,4189868991,2337813757,601832665,1094864538,529922134,909485932,2443287661
1005683021,0000010c43fc86e9,530f,1861488467,2071144575,1816816193,215707343,3735347080,748355324,1856324455,1423389776,2414505483,3896903266,1779121157
1007130993,0000010c43fc86e9,530f,1861488467,3617268607,2070326021,1181014134,1341535997,380725498,1136120481,917127835,3816021339,4178757372,3850798285
1008418041,0000010c43fc86e9,530f,1861488467,4123451459,258321191,294251886,4189868991,2337813757,601832665,1094864538,529922134,909485932,2443287661
196524627,0000010c43fc86e9,6487,595953508,2378270574,2243024275,607581398,4267622321,374210505,3872669174,2167065015,3070709248,1138641417,591085342
602277190,0000010c43fc86e9,6487,595953508,2378270574,2243024275,607581398,4267622321,374210505,3872669174,2167065015,3070709248,1138641417,591085342
1006767870,0000010c43fc86e9,6487,595953508,2378270574,2243024275,607581398,4267622321,374210505,3872669174,2167065015,3070709248,1138641417,591085342
197584664,0000010c43fc86e9,7243,2445427570,3123820724,3079123157,1873737894,1069498335,3021048742,3855065814,1612970534,2120866230,1519508058,1408948940
603337227,0000010c43fc86e9,7243,2445427570,3123820724,3079123157,1873737894,1069498335,3021048742,3855065814,1612970534,2120866230,1519508058,1408948940
1007819638,0000010c43fc86e9,7243,2445427570,3123820724,3079123157,1873737894,1069498335,3021048742,3855065814,1612970534,2120866230,1519508058,1408948940
68966,0000010c43fc9ae9,7321,1390485875,4171580296,3737246991,632995377,3774146039,3561834931,402739325,1178634523,1156816569,3705466275,829361506
265660,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969,3729924980,4153118172
447457,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855,2543439614,3351341056
778056,0000010c43fc9ae9,7321,1390485875,762133789,147321183,3032363422,3863452199,1228079772,3967065300,1636762304,10376199,1110221111,1349277083
1133158,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141,923185848,1047328109
1868899,0000010c43fc9ae9,7321,1390485875,4152684473,4244879610,1312425936,3218342625,2863723526,2977395544,63968575,773127104,289859142,1866619070
1930605,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,4472320,3698977602,916183762,3310802038
2267183,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445,2032895948,220436430
3084231,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,436233383,571046676,2288979214,776327801,909298539
3990595,0000010c43fc9ae9,7321,1390485875,1465637498,407872627,4245837791,70811129,2926463594,323122746,2231164,361560150,1277100032,167805946
4240891,0000010c43fc9ae9,7321,1390485875,2126702556,4211577077,2633239968,4233235428,2864894491,273411293,260050752,2011085392,1844014090,3652541404
5104799,0000010c43fc9ae9,7321,1390485875,4152668089,2130688446,2474588544,3734295699,928126358,2105746934,17470,997154088,3415519765,2112409655
5581666,0000010c43fc9ae9,7321,1390485875,1608153826,84395795,2943306712,2124739579,1232585065,731006092,9536529,2767771142,3647698900,2552170678
6024836,0000010c43fc9ae9,7321,1390485875,3993624435,3995058389,2010265984,4171568648,1418044727,4134407851,12247559,2962213895,3064863723,2871725778
6117662,0000010c43fc9ae9,7321,1390485875,2126698460,3995009238,4003739520,4031458576,1377127023,1273814300,1148977338,2626202072,1521048428,1885721762
6563410,0000010c43fc9ae9,7321,1390485875,1835658121,1016188641,1264352611,3253324783,2926463594,3750006941,226511042,1462813879,2037085365,3969101746
6992822,0000010c43fc9ae9,7321,1390485875,4152676281,1962926074,2633812737,939042206,2371126693,3239213879,520101760,4139546017,3056943810,1289910503
7597666,0000010c43fc9ae9,7321,1390485875,1267142695,1904738114,4207310882,2548013008,2496955091,306345530,546484295,2230900448,3163925780,3323328232
8620055,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969,1512670318,913448798
8826465,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855,1261682807,1528202386
9345101,0000010c43fc9ae9,7321,1390485875,3035985068,3250712853,3184998262,876598009,1251611104,2708671133,2441362698,2289020263,3157878059,3167098358
9574459,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141,4275219838,1320614582
10368402,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,574897664,2970577998,1080723948,1288465777
10725334,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445,967546307,3502793319
11539647,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,2097202231,3562782265,1636762304,25852331,2059364286
120103137,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268,4212867293,925199636
120556372,0000010c43fc9ae9,7321,1390485875,1032059387,3970766360,1558100056,2950477610,4122840372,2571118124,3160916736,4057422073,3042596984,3674415035
128578709,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268,2409160424,142676791
129034696,0000010c43fc9ae9,7321,1390485875,4094486127,2981583456,1507768417,2045099733,1457482660,70947941,1041958480,2914117259,2613566827,3734698090
405821528,0000010c43fc9ae9,7321,1390485875,4171580296,3737246991,632995377,3774146039,3561834931,402739325,1178634523,1156816569,3705466275,829361506
