table_off_hex,target_off_hex,control_hex,nearest_marker_hex,nearest_marker_dist,nearest_marker_tag,nearest_path_hex,nearest_path_dist,nearest_path
0x490,0x8ffc,0x5f,0x8fe6,22,l,0x8f8e,110,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x494,0x7c80,0x4c02,0x7c59,39,l,0x7f99,793,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x4dc,0x3d5c,0x200,0x3d64,8,n,0x396b,1009,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x4e0,0x5db9,0x6c00,0x5dbb,2,n,0x60b7,766,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x4e4,0x5e43,0x7c00,0x5e36,13,n,0x60b7,628,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x4e8,0x5f07,0x8400,0x5ec4,67,n,0x60b7,432,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x4ec,0x5e83,0x2400,0x5e87,4,l,0x60b7,564,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x4f0,0x5f61,0xbc00,0x5f5c,5,l,0x60b7,342,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x4f8,0x6053,0xc00,0x6055,2,l,0x60b7,100,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x4fc,0x5f6f,0x8800,0x5f5c,19,l,0x60b7,328,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x500,0x6043,0x7800,0x603b,8,n,0x60b7,116,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x508,0x6074,0x5000,0x6081,13,n,0x60b7,67,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x510,0x5cea,0xbc00,0x5c88,98,l,0x60b7,973,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x514,0x6010,0x1000,0x601a,10,n,0x60b7,167,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
