table_start_hex,table_end_hex,pair_count,target_min_hex,target_max_hex,control_values,semantic_sample
0x944,0x948,1,0x5edc,0x5edc,0xcc05,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x948,0x94c,1,0x4c48,0x4c48,0x106,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x94c,0x958,2,0x5e78,0x5f49,0x7c00;0xe400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x95c,0x960,1,0xf42e,0xf42e,0x125c,FMV\ELF3.PSS
0x960,0x964,1,0xa802,0xa802,0x5ff5,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x964,0x970,2,0xcd06,0xd000,0x55e;0x5e,"FMV\INV1.PSS | ""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x970,0x974,1,0x95cc,0x95cc,0x5e,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x974,0x978,1,0xe434,0xe434,0x765c,HUD\HUD-NUMS.PSB
0x978,0x97c,1,0x9b0e,0x9b0e,0x60,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x97c,0x980,1,0x8a1c,0x8a1c,0x60,\FMV\CHALL02.PSS
0x980,0x984,1,0x4978,0x4978,0x60,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x990,0x9a8,5,0x5e08,0x6057,0x1000;0x2c00;0x4400;0xc000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x9a8,0x9ac,1,0x4c39,0x4c39,0x14c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x9ac,0x9c4,5,0x5dce,0x608a,0x3c00;0x5000;0x6400;0x8800;0x8c00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x9d0,0x9d4,1,0x2f5c,0x2f5c,0xc20d,CUPS\CUP_FUJSEM.PSM
0xa04,0xa08,1,0x5a4c,0x5a4c,0x35e,HUD\HUD-TEMPLATE.PSB
0xa08,0xa0c,1,0x68d0,0x68d0,0x6d5c,FMV\GO2.PSS
0xa10,0xa34,9,0x5de2,0x6058,0x1800;0x3400;0x400;0x4800;0x5c00;0x6000;0x6400;0x7800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
