table_start_hex,table_end_hex,pair_count,target_min_hex,target_max_hex,control_values,semantic_sample
0x171c,0x1720,1,0x4952,0x4952,0x4c4c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1720,0x1724,1,0x3233,0x3233,0x8428,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x1728,0x172c,1,0x3e38,0x3e38,0x3e04,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1730,0x1738,2,0xac02,0xadd8,0x2c3c;0x53e,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x1738,0x173c,1,0x5c32,0x5c32,0x4146,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x173c,0x1740,1,0x4d52,0x4d52,0x4e4f,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1740,0x1744,1,0xd828,0xd828,0x534,FMV\INV1.PSS
0x1744,0x1748,1,0x3e84,0x3e84,0x47d0,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1750,0x1754,1,0x6c36,0x6c36,0x280c,FMV\GO2.PSS
0x1754,0x175c,2,0x2f9c,0x3107,0x3dcc;0xad2a,CUPS\CUP_FUJSEM.PSM | \TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x175c,0x1760,1,0xc00d,0xc00d,0x270c,SCREENS\PS2\RACERESULTS.XML
