start,end,size,shape,tags,count,mirror_partner,is_mirrored,is_canonical,mirror_exact
64796622,64796664,42,mixed,BX*Hd|BX91,2,470549185.0,True,True,True
64816568,64816606,38,mixed,BX*Hd|BX91,2,470569131.0,True,True,True
64824877,64824915,38,mixed,BX*Hd|BX91,2,470577440.0,True,True,True
64845152,64845157,5,mixed,BX*Hd,1,470597715.0,True,True,True
64853652,64853657,5,mixed,BX*Hd,1,470606215.0,True,True,True
64907616,64907621,5,mixed,BX91,1,470660179.0,True,True,True
64917181,64917186,5,mixed,BX91,1,470669744.0,True,True,True
64937462,64937467,5,mixed,BX91,1,470690025.0,True,True,True
64945873,64945878,5,mixed,BX91,1,470698436.0,True,True,True
64964065,64964070,5,mixed,BX91,1,470716628.0,True,True,True
64971367,64971372,5,mixed,BX91,1,470723930.0,True,True,True
65038338,65038343,5,mixed,BX91,1,470790901.0,True,True,True
65044819,65044824,5,mixed,BX91,1,470797382.0,True,True,True
65060471,65060476,5,mixed,BX91,1,470813034.0,True,True,True
65111413,65111418,5,mixed,BX91,1,470863976.0,True,True,True
65117805,65117842,37,mixed,BX*Hd|BX91,2,470870368.0,True,True,True
65134316,65134321,5,mixed,BX91,1,470886879.0,True,True,True
65157902,65157907,5,mixed,BX91,1,470910465.0,True,True,True
65209952,65209957,5,mixed,BX91,1,470962515.0,True,True,True
65216754,65216759,5,mixed,BX91,1,470969317.0,True,True,True
65233441,65233446,5,mixed,BX91,1,470986004.0,True,True,True
65240258,65240263,5,mixed,BX91,1,470992821.0,True,True,True
65257543,65257548,5,mixed,BX91,1,471010106.0,True,True,True
65313279,65313284,5,mixed,BX91,1,471065842.0,True,True,True
65320835,65320840,5,mixed,BX91,1,471073398.0,True,True,True
65338905,65338910,5,mixed,BX91,1,471091468.0,True,True,True
65363914,65363919,5,mixed,BX91,1,471116477.0,True,True,True
65421426,65421431,5,mixed,BX91,1,471173989.0,True,True,True
65448380,65448385,5,mixed,BX91,1,471200943.0,True,True,True
65456498,65456503,5,mixed,BX91,1,471209061.0,True,True,True
65540942,65540947,5,mixed,BX91,1,471293505.0,True,True,True
65550199,65550204,5,mixed,BX91,1,471302762.0,True,True,True
65572478,65572483,5,mixed,BX91,1,471325041.0,True,True,True
65582526,65582531,5,mixed,BX91,1,471335089.0,True,True,True
65605674,65605679,5,mixed,BX91,1,471358237.0,True,True,True
65615394,65615399,5,mixed,BX91,1,471367957.0,True,True,True
65674018,65674023,5,mixed,BX91,1,471426581.0,True,True,True
65683365,65683370,5,mixed,BX91,1,471435928.0,True,True,True
65804850,65804855,5,mixed,BX91,1,471557413.0,True,True,True
65814087,65814092,5,mixed,BX91,1,471566650.0,True,True,True
65868538,65868543,5,mixed,BX91,1,471621101.0,True,True,True
65878192,65878197,5,mixed,BX91,1,471630755.0,True,True,True
65936564,65936569,5,mixed,BX91,1,471689127.0,True,True,True
65945351,65945356,5,mixed,BX91,1,471697914.0,True,True,True
65965995,65966000,5,mixed,BX91,1,471718558.0,True,True,True
65974932,65974937,5,mixed,BX91,1,471727495.0,True,True,True
65995926,65995931,5,mixed,BX91,1,471748489.0,True,True,True
66004381,66004386,5,mixed,BX91,1,471756944.0,True,True,True
66058132,66058137,5,mixed,BX91,1,471810695.0,True,True,True
66066699,66066704,5,mixed,BX91,1,471819262.0,True,True,True
66087603,66087608,5,mixed,BX91,1,471840166.0,True,True,True
66096689,66096694,5,mixed,BX91,1,471849252.0,True,True,True
66117366,66117405,39,mixed,BX*Hd|BX91,2,471869929.0,True,True,True
66126048,66126053,5,mixed,BX91,1,471878611.0,True,True,True
66179250,66179255,5,mixed,BX91,1,471931813.0,True,True,True
66187106,66187111,5,mixed,BX91,1,471939669.0,True,True,True
66205231,66205236,5,mixed,BX91,1,471957794.0,True,True,True
66212465,66212504,39,mixed,BX*Hd|BX91,2,471965028.0,True,True,True
66230387,66230392,5,mixed,BX91,1,471982950.0,True,True,True
