start,end,size,shape,tags,count
502918640,502918677,37,mixed,BX91|BXA0,2
502939507,502939512,5,mixed,BXU,1
502943680,502943760,80,mixed,BXU|BX{,2
502955814,502955892,78,mixed,BX91|BXA0|BXI1,3
502960018,502960061,43,mixed,BX91|BXA0,2
502972265,502972427,162,mixed,BX91|BXA0|BXU|BX{,4
502976495,502976547,52,mixed,BX91|BXA0,2
502988429,502988467,38,mixed,BX91|BXA0,2
502992375,502992412,37,mixed,BX91|BXA0,2
503031568,503031573,5,mixed,BXI1,1
503042710,503042777,67,mixed,BX91|BXA0|BXI1,3
503058323,503058389,66,mixed,BX91|BXA0|BXI1,3
503100159,503100196,37,mixed,BX91|BXA0,2
503119348,503119424,76,mixed,BX91|BXA0|BXI1,3
503125008,503125097,89,mixed,BX91|BXA0|BXI1,3
503138646,503138723,77,mixed,BX91|BXA0|BXU,3
503163603,503163608,5,mixed,BXU,1
503178668,503178706,38,mixed,BX91|BXA0,2
503182404,503182441,37,mixed,BX91|BXA0,2
503193998,503194063,65,mixed,BX91|BXI1,2
503198057,503198152,95,mixed,BX91|BX{|BXI1,3
503209585,503209627,42,mixed,BX91|BXA0,2
503250272,503250346,74,mixed,BX91|BXU,2
503254542,503254547,5,mixed,BX{,1
503266483,503266488,5,mixed,BXA0,1
503282344,503282349,5,mixed,BX91,1
503321762,503321855,93,mixed,BX91|BXA0|BXI1,3
503336792,503336833,41,mixed,BX91|BXA0,2
503341030,503341035,5,mixed,BX{,1
503352377,503352556,179,mixed,BX91|BXQ|BX{,3
503376059,503376064,5,mixed,BXU,1
503379988,503379993,5,mixed,BXU,1
503390859,503390956,97,mixed,BX91|BXI1,2
503394788,503394793,5,mixed,BX{,1
503405361,503405563,202,mixed,BX91|BX{,2
503420644,503420649,5,mixed,BX91,1
503457947,503457988,41,mixed,BX91|BXA0,2
503461533,503461538,5,mixed,BX91,1
503472181,503472262,81,mixed,BX91|BXA0|BXI1,3
503486385,503486512,127,mixed,BXA0|BXQ|BX{,3
503509682,503509856,174,mixed,BX91|BXA0|BX{,3
503524119,503524209,90,mixed,BX91|BXA0|BXI1,3
503539162,503539214,52,mixed,BX91|BXA0,2
503554586,503554674,88,mixed,BX91|BXA0|BXU,3
503578603,503578652,49,mixed,BX91|BXBa,2
503594583,503594741,158,mixed,BX91|BXA0|BX{,3
503611858,503612013,155,variant_chain,BX91|BXBa|BX{,3
503616437,503616442,5,mixed,BX{,1
503628792,503628837,45,mixed,BX91|BXA0,2
503653528,503653573,45,mixed,BXA0|BX{,2
503669863,503669953,90,mixed,BX91|BXA0|BXU,3
503688664,503688752,88,mixed,BX91|BXI1,2
503693583,503693754,171,mixed,BX91|BXA0|BXT|BX{,4
